类别,名称,x,y
港口/地区,葵青货柜码头,12622.956036123336,6076.802741124996
港口/地区,西区公用码头,13532.53323989925,926.2537389488723
港口/地区,西区公用货物装卸区,12272.08971656669,183.47162896329183
港口/地区,中环码头,16344.608463793309,876.216021959135
港口/地区,尖沙咀码头,17294.31407361924,1525.5943935632667
港口/地区,观塘码头,23253.896838635497,3558.2376526258827
港口/地区,红磡码头,18417.90944299035,2279.495996213277
避风塘,油麻地避风塘,16152.197901456264,3378.101871461406
避风塘,昂船洲避风塘,13890.60209387577,3558.2376526258827
避风塘,九龙湾避风塘,11832.73511700431,2557.483312824816
避风塘,北角避风塘,13067.4553031266,3335.8477993364936
避风塘,青衣避风塘,15434.002326528633,2779.8731661138104
避风塘,香港仔避风塘,12141.41516353488,2112.7036062464326
避风塘,铜锣湾避风塘,19292.502908160062,277.987316611144
避风塘,鲤鱼门避风塘,24488.617024757787,1667.9238996684442
锚地,西部检疫及入境锚地,10630.940802512161,3071.2038739225864
锚地,西部危险品锚地,11721.610300253127,3713.910549928297
锚地,基列特 3 号,13415.234822218425,2918.8668244193823
锚地,基列特 2 号,12743.341254270452,2396.250669189989
锚地,基列特 1 号,10839.814300665008,2096.0243672499855
锚地,东部锚地,25723.33721088008,0.0
锚地,中部锚地,21607.60325713862,1111.9492664453662
