类别,名称,X (m),Y (m)
港口,葵青货柜码头,12622.956,6076.803
港口,西区公用码头,13532.533,926.254
港口,西区公用货物装卸区,12272.09,183.472
港口,中环码头,16344.608,876.216
港口,尖沙咀码头,17294.314,1525.594
港口,观塘码头,23253.897,3558.238
港口,红磡码头,20065.232,2276.16
避风塘,油麻地避风塘,16152.198,3378.102
避风塘,昂船洲避风塘,13890.602,3558.238
避风塘,九龙湾避风塘,11832.735,2557.483
避风塘,北角避风塘,13067.455,3335.848
避风塘,青衣避风塘,15434.002,2779.873
避风塘,香港仔避风塘,12141.415,2112.704
避风塘,铜锣湾避风塘,19292.503,277.987
避风塘,鲤鱼门避风塘,24488.617,1667.924
锚地,西部检疫及入境锚地,10630.941,3071.204
锚地,西部危险品锚地,11721.61,3713.911
锚地,基列特 3 号,13415.235,2918.867
锚地,基列特 2 号,12743.341,2396.251
锚地,基列特 1 号,10839.814,2096.024
锚地,东部锚地,25723.337,0.0
锚地,中部锚地,21607.603,1111.949
